Book Name,predicted_age_category,confidence,llm_prediction,llm_confidence,ml_prediction,ml_confidence,probability_distribution,num_chunks_processed,vote_distribution
إرادة القوة - نيتشه,٢١+,0.9447,٢١+,0.9919,٢١+,0.896,"{'٣-٨': 0.0022, '٩-١٢': 0.0057, '١٣-١٨': 0.0198, '١٨-٢١': 0.0276, '٢١+': 0.9447}",246,"{'٢١+': 244, '١٨-٢١': 2}"
ابن سلام الجمحي-طبقات فحول الشعراء,٢١+,0.918,٢١+,1.0,٢١+,0.8364,"{'٣-٨': 0.0036, '٩-١٢': 0.0296, '١٣-١٨': 0.0216, '١٨-٢١': 0.0272, '٢١+': 0.918}",132,{'٢١+': 132}
الأخوة كارامازوف 1,١٨-٢١,0.9591,١٨-٢١,1.0,١٨-٢١,0.9184,"{'٣-٨': 0.0012, '٩-١٢': 0.0094, '١٣-١٨': 0.0153, '١٨-٢١': 0.9591, '٢١+': 0.015}",206,{'١٨-٢١': 206}
الأخوة كارامازوف 2,١٨-٢١,0.8824,١٨-٢١,0.9848,١٨-٢١,0.7802,"{'٣-٨': 0.002, '٩-١٢': 0.0672, '١٣-١٨': 0.0289, '١٨-٢١': 0.8824, '٢١+': 0.0194}",197,"{'١٨-٢١': 194, '٢١+': 3}"
الأخوة كارامازوف 3,١٨-٢١,0.9647,١٨-٢١,1.0,١٨-٢١,0.9296,"{'٣-٨': 0.0007, '٩-١٢': 0.0125, '١٣-١٨': 0.0078, '١٨-٢١': 0.9647, '٢١+': 0.0144}",210,{'١٨-٢١': 210}
الأخوة كارامازوف 4,١٨-٢١,0.9263,١٨-٢١,1.0,١٨-٢١,0.8527,"{'٣-٨': 0.0009, '٩-١٢': 0.0328, '١٣-١٨': 0.008, '١٨-٢١': 0.9263, '٢١+': 0.032}",312,{'١٨-٢١': 312}
الأدب الصغير,١٣-١٨,0.8884,١٣-١٨,1.0,١٣-١٨,0.7771,"{'٣-٨': 0.0047, '٩-١٢': 0.0458, '١٣-١٨': 0.8884, '١٨-٢١': 0.0485, '٢١+': 0.0125}",62,{'١٣-١٨': 62}
الأدب_الكبير,١٣-١٨,0.575,١٣-١٨,0.8095,٩-١٢,0.5552,"{'٣-٨': 0.0041, '٩-١٢': 0.2816, '١٣-١٨': 0.575, '١٨-٢١': 0.0928, '٢١+': 0.0466}",42,"{'٢١+': 4, '١٨-٢١': 4, '١٣-١٨': 34}"
الأرنب والسلحفاة,٣-٨,0.4831,٩-١٢,0.5,٣-٨,0.9363,"{'٣-٨': 0.4831, '٩-١٢': 0.2188, '١٣-١٨': 0.0108, '١٨-٢١': 0.2823, '٢١+': 0.0051}",4,"{'٩-١٢': 2, '١٨-٢١': 2}"
الأغصان,٩-١٢,0.8259,٩-١٢,1.0,٩-١٢,0.6521,"{'٣-٨': 0.0025, '٩-١٢': 0.8259, '١٣-١٨': 0.0124, '١٨-٢١': 0.0125, '٢١+': 0.1467}",281,{'٩-١٢': 281}
الأمواج,٢١+,0.867,٢١+,0.9943,٢١+,0.7394,"{'٣-٨': 0.0042, '٩-١٢': 0.0131, '١٣-١٨': 0.0734, '١٨-٢١': 0.0423, '٢١+': 0.867}",176,"{'٢١+': 175, '١٨-٢١': 1}"
الأميرة الصغيرة(سالي),٩-١٢,0.9422,٩-١٢,1.0,٩-١٢,0.8845,"{'٣-٨': 0.0015, '٩-١٢': 0.9422, '١٣-١٨': 0.0384, '١٨-٢١': 0.0142, '٢١+': 0.0038}",49,{'٩-١٢': 49}
الأيام,١٣-١٨,0.8427,١٣-١٨,1.0,١٣-١٨,0.6873,"{'٣-٨': 0.0043, '٩-١٢': 0.0351, '١٣-١٨': 0.8427, '١٨-٢١': 0.0443, '٢١+': 0.0736}",229,{'١٣-١٨': 229}
الإمتاع والمؤانسة,٢١+,0.5639,١٨-٢١,0.5963,٢١+,0.8617,"{'٣-٨': 0.0013, '٩-١٢': 0.012, '١٣-١٨': 0.0676, '١٨-٢١': 0.3552, '٢١+': 0.5639}",431,"{'٢١+': 112, '١٨-٢١': 257, '٩-١٢': 4, '١٣-١٨': 58}"
الاشجار واغتيال مرزوق,١٨-٢١,0.9008,١٨-٢١,0.989,١٨-٢١,0.8123,"{'٣-٨': 0.0006, '٩-١٢': 0.059, '١٣-١٨': 0.0278, '١٨-٢١': 0.9008, '٢١+': 0.0117}",181,"{'١٨-٢١': 179, '٢١+': 1, '٩-١٢': 1}"
البحث عن الزمن المفقود الجزء 1 جانب منازل سوان,٢١+,0.9771,٢١+,1.0,٢١+,0.9546,"{'٣-٨': 0.0007, '٩-١٢': 0.0084, '١٣-١٨': 0.0034, '١٨-٢١': 0.0103, '٢١+': 0.9771}",486,{'٢١+': 486}
البحث عن الزمن المفقود الجزء 2 في ظلال ربيع الفتيات,٢١+,0.9664,٢١+,0.9978,٢١+,0.9351,"{'٣-٨': 0.0009, '٩-١٢': 0.0186, '١٣-١٨': 0.0058, '١٨-٢١': 0.0083, '٢١+': 0.9664}",460,"{'٢١+': 459, '١٨-٢١': 1}"
البحث عن الزمن المفقود الجزء 3 جانب من منازل غرمانت,٢١+,0.95,٢١+,1.0,٢١+,0.9001,"{'٣-٨': 0.0013, '٩-١٢': 0.0068, '١٣-١٨': 0.0077, '١٨-٢١': 0.0342, '٢١+': 0.95}",509,{'٢١+': 509}
البحث عن الزمن المفقود الجزء 4 سادوم وعامورة,٢١+,0.987,٢١+,0.998,٢١+,0.976,"{'٣-٨': 0.0005, '٩-١٢': 0.0046, '١٣-١٨': 0.002, '١٨-٢١': 0.0059, '٢١+': 0.987}",490,"{'٢١+': 489, '٩-١٢': 1}"
البحث عن الزمن المفقود الجزء 5 السجينة,٢١+,0.9293,٢١+,1.0,٢١+,0.8592,"{'٣-٨': 0.0016, '٩-١٢': 0.0155, '١٣-١٨': 0.0085, '١٨-٢١': 0.0452, '٢١+': 0.9293}",366,{'٢١+': 366}
البحث عن الزمن المفقود الجزء 6 الشاردة أو ألبرتين المختفية,٢١+,0.9552,٢١+,0.9955,٢١+,0.9179,"{'٣-٨': 0.0011, '٩-١٢': 0.0145, '١٣-١٨': 0.0137, '١٨-٢١': 0.0155, '٢١+': 0.9552}",221,"{'٢١+': 220, '١٨-٢١': 1}"
البحث عن الزمن المفقود الجزء 7 الزمن المستعاد,٢١+,0.9682,٢١+,0.9914,٢١+,0.9453,"{'٣-٨': 0.0007, '٩-١٢': 0.0073, '١٣-١٨': 0.0034, '١٨-٢١': 0.0205, '٢١+': 0.9682}",347,"{'٢١+': 344, '١٨-٢١': 3}"
البطة-القبيحة,٣-٨,0.5192,١٨-٢١,0.5,٣-٨,0.9244,"{'٣-٨': 0.5192, '٩-١٢': 0.0187, '١٣-١٨': 0.1414, '١٨-٢١': 0.3077, '٢١+': 0.013}",2,"{'١٨-٢١': 1, '١٣-١٨': 1}"
التطور المبدع هنري برغسون,٢١+,0.9099,٢١+,0.9659,٢١+,0.8526,"{'٣-٨': 0.0016, '٩-١٢': 0.0122, '١٣-١٨': 0.0284, '١٨-٢١': 0.0479, '٢١+': 0.9099}",264,"{'٢١+': 255, '١٨-٢١': 9}"
الجرة العجيبة,٣-٨,0.4962,٩-١٢,1.0,٣-٨,0.9728,"{'٣-٨': 0.4962, '٩-١٢': 0.4895, '١٣-١٨': 0.0051, '١٨-٢١': 0.0067, '٢١+': 0.0025}",1,{'٩-١٢': 1}
الحب الضائع,١٨-٢١,0.9259,١٨-٢١,1.0,١٨-٢١,0.852,"{'٣-٨': 0.0013, '٩-١٢': 0.0127, '١٣-١٨': 0.0528, '١٨-٢١': 0.9259, '٢١+': 0.0072}",86,{'١٨-٢١': 86}
الحديقة_السرية,٩-١٢,0.8926,٩-١٢,1.0,٩-١٢,0.7854,"{'٣-٨': 0.0029, '٩-١٢': 0.8926, '١٣-١٨': 0.0475, '١٨-٢١': 0.0446, '٢١+': 0.0124}",175,{'٩-١٢': 175}
الحيوان1,١٨-٢١,0.8761,١٨-٢١,1.0,١٨-٢١,0.7524,"{'٣-٨': 0.0053, '٩-١٢': 0.0594, '١٣-١٨': 0.0365, '١٨-٢١': 0.8761, '٢١+': 0.0226}",31,{'١٨-٢١': 31}
الحيوان2,١٨-٢١,0.9483,١٨-٢١,1.0,١٨-٢١,0.8966,"{'٣-٨': 0.0016, '٩-١٢': 0.0131, '١٣-١٨': 0.0088, '١٨-٢١': 0.9483, '٢١+': 0.0283}",272,{'١٨-٢١': 272}
الحيوان3,١٨-٢١,0.9663,١٨-٢١,1.0,١٨-٢١,0.9328,"{'٣-٨': 0.0008, '٩-١٢': 0.0071, '١٣-١٨': 0.0017, '١٨-٢١': 0.9663, '٢١+': 0.024}",392,{'١٨-٢١': 392}
الحيوان4,١٨-٢١,0.9563,١٨-٢١,1.0,١٨-٢١,0.9127,"{'٣-٨': 0.0014, '٩-١٢': 0.0105, '١٣-١٨': 0.0019, '١٨-٢١': 0.9563, '٢١+': 0.03}",388,{'١٨-٢١': 388}
الحيوان5,١٨-٢١,0.8253,١٨-٢١,0.9947,١٨-٢١,0.6562,"{'٣-٨': 0.0014, '٩-١٢': 0.0162, '١٣-١٨': 0.0021, '١٨-٢١': 0.8253, '٢١+': 0.1551}",562,"{'١٨-٢١': 559, '٢١+': 3}"
الحيوان6,١٨-٢١,0.945,١٨-٢١,1.0,١٨-٢١,0.89,"{'٣-٨': 0.0014, '٩-١٢': 0.0109, '١٣-١٨': 0.0025, '١٨-٢١': 0.945, '٢١+': 0.0403}",432,{'١٨-٢١': 432}
الحيوان7,١٨-٢١,0.9413,١٨-٢١,1.0,١٨-٢١,0.8826,"{'٣-٨': 0.0011, '٩-١٢': 0.0065, '١٣-١٨': 0.0023, '١٨-٢١': 0.9413, '٢١+': 0.0489}",400,{'١٨-٢١': 400}
الحيوان8,١٨-٢١,0.9201,١٨-٢١,0.9562,١٨-٢١,0.8826,"{'٣-٨': 0.0037, '٩-١٢': 0.0095, '١٣-١٨': 0.0093, '١٨-٢١': 0.9201, '٢١+': 0.0573}",251,"{'١٨-٢١': 240, '٢١+': 11}"
الخصائص,٢١+,0.9546,٢١+,0.9972,٢١+,0.9123,"{'٣-٨': 0.0013, '٩-١٢': 0.0098, '١٣-١٨': 0.0022, '١٨-٢١': 0.0322, '٢١+': 0.9546}",356,"{'٢١+': 355, '١٨-٢١': 1}"
الخنازير-الثلاثة,٣-٨,0.5715,١٨-٢١,1.0,٣-٨,0.9084,"{'٣-٨': 0.5715, '٩-١٢': 0.0825, '١٣-١٨': 0.0798, '١٨-٢١': 0.2588, '٢١+': 0.0074}",2,{'١٨-٢١': 2}
السكرية,١٨-٢١,0.9553,١٨-٢١,1.0,١٨-٢١,0.9106,"{'٣-٨': 0.0013, '٩-١٢': 0.0095, '١٣-١٨': 0.0131, '١٨-٢١': 0.9553, '٢١+': 0.0208}",203,{'١٨-٢١': 203}
السلحفاة الطائرة,١٨-٢١,0.4938,١٨-٢١,1.0,٣-٨,0.97,"{'٣-٨': 0.4869, '٩-١٢': 0.0079, '١٣-١٨': 0.01, '١٨-٢١': 0.4938, '٢١+': 0.0014}",1,{'١٨-٢١': 1}
السندباد البحري_18536_Foulabook.com_,٩-١٢,0.898,٩-١٢,1.0,٩-١٢,0.8196,"{'٣-٨': 0.0225, '٩-١٢': 0.898, '١٣-١٨': 0.0434, '١٨-٢١': 0.027, '٢١+': 0.0092}",24,{'٩-١٢': 24}
السيدة دالاوي - فرجينيا وولف,٢١+,0.9035,٢١+,0.9933,٢١+,0.8136,"{'٣-٨': 0.0023, '٩-١٢': 0.0264, '١٣-١٨': 0.0421, '١٨-٢١': 0.0256, '٢١+': 0.9035}",150,"{'٢١+': 149, '١٨-٢١': 1}"
الشفاء (الإلهیات) - إبن سينا,٢١+,0.9665,٢١+,0.9709,٢١+,0.9646,"{'٣-٨': 0.0005, '٩-١٢': 0.0066, '١٣-١٨': 0.0032, '١٨-٢١': 0.0233, '٢١+': 0.9665}",446,"{'٢١+': 433, '١٨-٢١': 13}"
الصبيّ_الأعرج.docx,٩-١٢,0.9248,٩-١٢,1.0,٩-١٢,0.85,"{'٣-٨': 0.0084, '٩-١٢': 0.9248, '١٣-١٨': 0.0498, '١٨-٢١': 0.0137, '٢١+': 0.0033}",11,{'٩-١٢': 11}
الصخب والعنف ,٢١+,0.8977,٢١+,0.996,٢١+,0.8017,"{'٣-٨': 0.0021, '٩-١٢': 0.0261, '١٣-١٨': 0.0057, '١٨-٢١': 0.0685, '٢١+': 0.8977}",250,"{'٢١+': 249, '١٨-٢١': 1}"
العادات السبع للمراهقين الأكثر فعالية,١٣-١٨,0.887,١٣-١٨,0.9834,١٣-١٨,0.7882,"{'٣-٨': 0.0042, '٩-١٢': 0.0291, '١٣-١٨': 0.887, '١٨-٢١': 0.0307, '٢١+': 0.049}",181,"{'١٣-١٨': 178, '٩-١٢': 3}"
العالم إرادة وتمثلا - المجلد الأول,٢١+,0.9518,٢١+,1.0,٢١+,0.9037,"{'٣-٨': 0.0025, '٩-١٢': 0.015, '١٣-١٨': 0.019, '١٨-٢١': 0.0117, '٢١+': 0.9518}",216,{'٢١+': 216}
العقاب,١٨-٢١,0.9694,١٨-٢١,1.0,١٨-٢١,0.9388,"{'٣-٨': 0.0006, '٩-١٢': 0.0118, '١٣-١٨': 0.0057, '١٨-٢١': 0.9694, '٢١+': 0.0126}",284,{'١٨-٢١': 284}
العقد الإجتماعي - جان جاك روسو,٢١+,0.8934,٢١+,1.0,٢١+,0.787,"{'٣-٨': 0.004, '٩-١٢': 0.0186, '١٣-١٨': 0.0518, '١٨-٢١': 0.0323, '٢١+': 0.8934}",109,{'٢١+': 109}
الفضيلة,١٣-١٨,0.9213,١٣-١٨,1.0,١٣-١٨,0.8429,"{'٣-٨': 0.0031, '٩-١٢': 0.0143, '١٣-١٨': 0.9213, '١٨-٢١': 0.0247, '٢١+': 0.0366}",105,{'١٣-١٨': 105}
الفيلة الجميلة,٣-٨,0.6978,١٨-٢١,0.5,٣-٨,0.9367,"{'٣-٨': 0.6978, '٩-١٢': 0.0425, '١٣-١٨': 0.0161, '١٨-٢١': 0.2343, '٢١+': 0.0094}",2,"{'١٨-٢١': 1, '٣-٨': 1}"
القاهرة الجديدة,١٨-٢١,0.92,١٨-٢١,1.0,١٨-٢١,0.8415,"{'٣-٨': 0.0014, '٩-١٢': 0.0177, '١٣-١٨': 0.0471, '١٨-٢١': 0.92, '٢١+': 0.0139}",114,{'١٨-٢١': 114}
القصة المصورة الراعي الكذاب,٣-٨,0.4779,٩-١٢,0.5,٣-٨,0.8737,"{'٣-٨': 0.4779, '٩-١٢': 0.3468, '١٣-١٨': 0.0184, '١٨-٢١': 0.1508, '٢١+': 0.0062}",2,"{'٩-١٢': 1, '١٨-٢١': 1}"
القلق كتاب,١٨-٢١,0.8701,١٨-٢١,1.0,١٨-٢١,0.7403,"{'٣-٨': 0.0022, '٩-١٢': 0.0107, '١٣-١٨': 0.0097, '١٨-٢١': 0.8701, '٢١+': 0.1074}",304,{'١٨-٢١': 304}
الكرنك,١٨-٢١,0.9027,١٨-٢١,1.0,١٨-٢١,0.8055,"{'٣-٨': 0.0009, '٩-١٢': 0.0691, '١٣-١٨': 0.0246, '١٨-٢١': 0.9027, '٢١+': 0.0026}",38,{'١٨-٢١': 38}
الكلب الصامت,٣-٨,0.6161,٩-١٢,0.6667,٣-٨,0.9508,"{'٣-٨': 0.6161, '٩-١٢': 0.2467, '١٣-١٨': 0.0167, '١٨-٢١': 0.1128, '٢١+': 0.0077}",3,"{'١٨-٢١': 1, '٩-١٢': 2}"
اللص والكلاب,١٨-٢١,0.9437,١٨-٢١,1.0,١٨-٢١,0.8876,"{'٣-٨': 0.0017, '٩-١٢': 0.0257, '١٣-١٨': 0.0182, '١٨-٢١': 0.9437, '٢١+': 0.0107}",62,{'١٨-٢١': 62}
المعذبون في الأرض,١٨-٢١,0.9071,١٨-٢١,0.9892,١٨-٢١,0.8244,"{'٣-٨': 0.002, '٩-١٢': 0.0173, '١٣-١٨': 0.0658, '١٨-٢١': 0.9071, '٢١+': 0.0078}",93,"{'١٨-٢١': 92, '١٣-١٨': 1}"
المواقف_والمخاطبات1,٢١+,0.9607,٢١+,0.9949,٢١+,0.9262,"{'٣-٨': 0.001, '٩-١٢': 0.0052, '١٣-١٨': 0.0023, '١٨-٢١': 0.0308, '٢١+': 0.9607}",785,"{'٢١+': 781, '١٨-٢١': 3, '٩-١٢': 1}"
المواقف_والمخاطبات2,٢١+,0.9607,٢١+,0.9949,٢١+,0.9262,"{'٣-٨': 0.001, '٩-١٢': 0.0052, '١٣-١٨': 0.0023, '١٨-٢١': 0.0308, '٢١+': 0.9607}",785,"{'٢١+': 781, '١٨-٢١': 3, '٩-١٢': 1}"
النار_في_التحليل_النفسي1,٢١+,0.5192,٢١+,1.0,١٣-١٨,0.789,"{'٣-٨': 0.004, '٩-١٢': 0.0194, '١٣-١٨': 0.3945, '١٨-٢١': 0.0628, '٢١+': 0.5192}",87,{'٢١+': 87}
النار_في_التحليل_النفسي2,٢١+,0.5192,٢١+,1.0,١٣-١٨,0.789,"{'٣-٨': 0.004, '٩-١٢': 0.0194, '١٣-١٨': 0.3945, '١٨-٢١': 0.0628, '٢١+': 0.5192}",87,{'٢١+': 87}
النسناس فرناس,٣-٨,0.6068,٣-٨,0.5,٣-٨,0.9449,"{'٣-٨': 0.6068, '٩-١٢': 0.0145, '١٣-١٨': 0.0172, '١٨-٢١': 0.3546, '٢١+': 0.007}",2,"{'٣-٨': 1, '١٨-٢١': 1}"
امانويل كانط نقد العقل المحض,٢١+,0.981,٢١+,1.0,٢١+,0.9623,"{'٣-٨': 0.0004, '٩-١٢': 0.0069, '١٣-١٨': 0.0023, '١٨-٢١': 0.0094, '٢١+': 0.981}",432,{'٢١+': 432}
باروخ سبينوزا-علم الأخلاق,٢١+,0.9237,٢١+,0.9899,٢١+,0.8599,"{'٣-٨': 0.0026, '٩-١٢': 0.0274, '١٣-١٨': 0.0209, '١٨-٢١': 0.0254, '٢١+': 0.9237}",199,"{'٢١+': 197, '١٨-٢١': 1, '٩-١٢': 1}"
بداية ونهاية,١٨-٢١,0.9362,١٨-٢١,1.0,١٨-٢١,0.8726,"{'٣-٨': 0.0017, '٩-١٢': 0.0214, '١٣-١٨': 0.0197, '١٨-٢١': 0.9362, '٢١+': 0.0209}",197,{'١٨-٢١': 197}
بذرة التفاح,٩-١٢,0.5069,٩-١٢,1.0,٣-٨,0.9622,"{'٣-٨': 0.4814, '٩-١٢': 0.5069, '١٣-١٨': 0.0041, '١٨-٢١': 0.0058, '٢١+': 0.0017}",1,{'٩-١٢': 1}
بلا عائلة(ريمي),٩-١٢,0.8529,٩-١٢,1.0,٩-١٢,0.706,"{'٣-٨': 0.0025, '٩-١٢': 0.8529, '١٣-١٨': 0.0093, '١٨-٢١': 0.0924, '٢١+': 0.0429}",359,{'٩-١٢': 359}
بنك المعلومات,١٨-٢١,0.9291,١٨-٢١,1.0,١٨-٢١,0.8585,"{'٣-٨': 0.0028, '٩-١٢': 0.0253, '١٣-١٨': 0.0277, '١٨-٢١': 0.9291, '٢١+': 0.0151}",82,{'١٨-٢١': 82}
بين القصرين,١٨-٢١,0.925,١٨-٢١,1.0,١٨-٢١,0.8501,"{'٣-٨': 0.0008, '٩-١٢': 0.0041, '١٣-١٨': 0.0101, '١٨-٢١': 0.925, '٢١+': 0.06}",356,{'١٨-٢١': 356}
تهافت التهافت1,٢١+,0.9298,٢١+,1.0,٢١+,0.8598,"{'٣-٨': 0.0063, '٩-١٢': 0.0218, '١٣-١٨': 0.0168, '١٨-٢١': 0.0253, '٢١+': 0.9298}",217,{'٢١+': 217}
تهافت التهافت2,٢١+,0.9298,٢١+,1.0,٢١+,0.8598,"{'٣-٨': 0.0063, '٩-١٢': 0.0218, '١٣-١٨': 0.0168, '١٨-٢١': 0.0253, '٢١+': 0.9298}",217,{'٢١+': 217}
جثة فى المكتبة,١٣-١٨,0.9105,١٣-١٨,0.9717,١٣-١٨,0.8451,"{'٣-٨': 0.0027, '٩-١٢': 0.0455, '١٣-١٨': 0.9105, '١٨-٢١': 0.0333, '٢١+': 0.008}",106,"{'١٣-١٨': 103, '٩-١٢': 3}"
جزيرة الكنز,٩-١٢,0.8907,٩-١٢,1.0,٩-١٢,0.7817,"{'٣-٨': 0.0047, '٩-١٢': 0.8907, '١٣-١٨': 0.0395, '١٨-٢١': 0.0397, '٢١+': 0.0253}",163,{'٩-١٢': 163}
جزيرة_الكنز,٩-١٢,0.9467,٩-١٢,1.0,٩-١٢,0.8936,"{'٣-٨': 0.0013, '٩-١٢': 0.9467, '١٣-١٨': 0.0359, '١٨-٢١': 0.0134, '٢١+': 0.0027}",43,{'٩-١٢': 43}
حكاية التاجر مع العفريت,٩-١٢,0.8833,٩-١٢,1.0,٩-١٢,0.7674,"{'٣-٨': 0.0039, '٩-١٢': 0.8833, '١٣-١٨': 0.0862, '١٨-٢١': 0.0159, '٢١+': 0.0107}",18,{'٩-١٢': 18}
حورية تقول الصدق,٣-٨,0.5773,٩-١٢,1.0,٣-٨,0.9554,"{'٣-٨': 0.5773, '٩-١٢': 0.363, '١٣-١٨': 0.0163, '١٨-٢١': 0.0275, '٢١+': 0.0158}",1,{'٩-١٢': 1}
حول العالم في ثمانين يوماً,٩-١٢,0.8769,٩-١٢,1.0,٩-١٢,0.754,"{'٣-٨': 0.0044, '٩-١٢': 0.8769, '١٣-١٨': 0.0456, '١٨-٢١': 0.0389, '٢١+': 0.0341}",76,{'٩-١٢': 76}
حي_بن_يقظان,١٣-١٨,0.9227,١٣-١٨,1.0,١٣-١٨,0.8457,"{'٣-٨': 0.0015, '٩-١٢': 0.0449, '١٣-١٨': 0.9227, '١٨-٢١': 0.0276, '٢١+': 0.0033}",45,{'١٣-١٨': 45}
خان الخليلي,١٨-٢١,0.9181,١٨-٢١,1.0,١٨-٢١,0.8363,"{'٣-٨': 0.0016, '٩-١٢': 0.0195, '١٣-١٨': 0.0435, '١٨-٢١': 0.9181, '٢١+': 0.0173}",162,{'١٨-٢١': 162}
خبز الفداء,١٣-١٨,0.8548,١٣-١٨,0.8889,١٣-١٨,0.8234,"{'٣-٨': 0.0248, '٩-١٢': 0.0487, '١٣-١٨': 0.8548, '١٨-٢١': 0.0669, '٢١+': 0.0048}",9,"{'١٣-١٨': 8, '١٨-٢١': 1}"
خمسون شمعة لإضاءة دروبكم,١٣-١٨,0.9377,١٣-١٨,1.0,١٣-١٨,0.8756,"{'٣-٨': 0.0023, '٩-١٢': 0.0234, '١٣-١٨': 0.9377, '١٨-٢١': 0.0232, '٢١+': 0.0135}",72,{'١٣-١٨': 72}
دعاء الكروان,١٨-٢١,0.9381,١٨-٢١,1.0,١٨-٢١,0.8764,"{'٣-٨': 0.0013, '٩-١٢': 0.0173, '١٣-١٨': 0.0284, '١٨-٢١': 0.9381, '٢١+': 0.0148}",102,{'١٨-٢١': 102}
رسائل إخوان الصفا وخلان الوفا 4,٢١+,0.9638,٢١+,1.0,٢١+,0.9278,"{'٣-٨': 0.0011, '٩-١٢': 0.0091, '١٣-١٨': 0.0103, '١٨-٢١': 0.0157, '٢١+': 0.9638}",315,{'٢١+': 315}
رسائل إخوان الصفا وخلان الوفا1,٢١+,0.9832,٢١+,1.0,٢١+,0.9665,"{'٣-٨': 0.0006, '٩-١٢': 0.0091, '١٣-١٨': 0.0029, '١٨-٢١': 0.0042, '٢١+': 0.9832}",309,{'٢١+': 309}
رسائل إخوان الصفا وخلان الوفا2,٢١+,0.9849,٢١+,1.0,٢١+,0.9699,"{'٣-٨': 0.0004, '٩-١٢': 0.0041, '١٣-١٨': 0.0045, '١٨-٢١': 0.006, '٢١+': 0.9849}",326,{'٢١+': 326}
رسائل إخوان الصفا وخلان الوفا3,٢١+,0.9891,٢١+,1.0,٢١+,0.9783,"{'٣-٨': 0.0006, '٩-١٢': 0.0045, '١٣-١٨': 0.0028, '١٨-٢١': 0.003, '٢١+': 0.9891}",365,{'٢١+': 365}
رسالة_الغفران,٢١+,0.8872,٢١+,1.0,٢١+,0.7747,"{'٣-٨': 0.0041, '٩-١٢': 0.0231, '١٣-١٨': 0.0425, '١٨-٢١': 0.0431, '٢١+': 0.8872}",111,{'٢١+': 111}
رواية المشكلة الأخيرة,١٣-١٨,0.9101,١٣-١٨,1.0,١٣-١٨,0.8207,"{'٣-٨': 0.0028, '٩-١٢': 0.016, '١٣-١٨': 0.9101, '١٨-٢١': 0.0488, '٢١+': 0.0224}",196,{'١٣-١٨': 196}
